Provincia,Habitantes
Albacete,387.735
Alacant/Alicante,1.904.362
Almeria,723.899
Araba/Alava,329.856
Asturias,1.006.193
Avila,159.062
Badajoz,667.000
Illes Balears,1.223.961
Barcelona,5.641.485
Bizkaia,1.133.833
Burgos,353.021
Caceres,386.302
Cadiz,1.259.339
Cantabria,584.407
Castellon/Castello,578.506
Ciudad Real,489.950
Cordoba,777.414
A Coruna,1.120.185
Cuenca,198.842
Gipuzkoa,713.583
Girona,776.944
Granada,929.968
Guadalajara,266.471
Huelva,532.865
Huesca,222.329
Jaen,622.617
Leon,452.219
Lleida,437.260
Lugo,324.419
Madrid,6.769.113
Malaga,1.711.693
Murcia,1.522.640
Navarra,659.232
Ourense,304.104
Palencia,157.340
Las Palmas,1.153.633
Pontevedra,942.849
La Rioja,315.896
Salamanca,326.506
Santa Cruz de Tenerife,1.098.831
Segovia,153.812
Sevilla,1.960.257
Soria,89.176
Tarragona,823.721
Teruel,133.118
Toledo,707.078
Valencia/Valencia,2.589.308
Valladolid,517.758
Zamora,167.846
Zaragoza,959.140
Ceuta,82.533
Melilla,83.196
